Site_long,Site,distance,SIGNAL_code,plot,year,nifH_gene_copies,Fus_graminearum_barley_z_sc_std,Fus_tricinctum_barley_z_sc_std,Fus_graminearum_wheat_z_sc_std,Fus_tricinctum_wheat_z_sc_std,Ver_longisporum_oil_rp_z_sc_std,Lep_maculans_oil_rape_z_sc_std
Dornburg,D_cr,1m,D_AF_r1_1m,D_AF_r1,2016-2017,,1.20386930678085,1.86599016104505,,,0.193436739446086,-0.112768696088409
Dornburg,D_cr,4m,D_AF_r1_4m,D_AF_r1,2016-2017,,-0.488672497014953,1.16074390063161,,,-0.54286134973761,-0.499060380150136
Dornburg,D_cr,7m,D_AF_r1_7m,D_AF_r1,2016-2017,,-0.488672497014953,-0.370003755185822,,,0.148954634998798,0.593149514867759
Dornburg,D_cr,1m,D_AF_r2_1m,D_AF_r2,2016-2017,,-0.488672497014953,-0.172083845513846,,,-0.151634336563749,0.30301703224298
Dornburg,D_cr,4m,D_AF_r2_4m,D_AF_r2,2016-2017,,1.44752571041213,-0.445163214554927,,,0.118626878462417,-0.102007090958144
Dornburg,D_cr,7m,D_AF_r2_7m,D_AF_r2,2016-2017,,-0.488672497014953,-0.00422771958951208,,,0.31950772737983,-0.452067711341998
Dornburg,D_cr,1m,D_AF_r3_1m,D_AF_r3,2016-2017,,1.16253473830769,0.108511469464145,,,0.656282869987336,-0.514169712921746
Dornburg,D_cr,4m,D_AF_r3_4m,D_AF_r3,2016-2017,,-0.488672497014953,0.79371520737915,,,-0.264366970035993,0.386906632926313
Dornburg,D_cr,7m,D_AF_r3_7m,D_AF_r3,2016-2017,,-0.488672497014953,0.733587639883866,,,-0.157879824888074,0.0902721431982623
Dornburg,D_cr,1m,D_AF_r4_1m,D_AF_r4,2016-2017,,-0.488672497014953,-0.415099430807285,,,-0.0948077158305238,2.97895526587628
Dornburg,D_cr,4m,D_AF_r4_4m,D_AF_r4,2016-2017,,-0.488672497014953,0.825031648782944,,,1.02659743565646,0.286918689354758
Dornburg,D_cr,7m,D_AF_r4_7m,D_AF_r4,2016-2017,,-0.488672497014953,-0.450173845179534,,,0.313419160872698,0.268783573157077
Dornburg,D_cr,MC,D_C_r1,D_C_r1,2016-2017,,-0.488672497014953,-0.452679160491837,,,-0.295238722205313,0.0594757390720707
Dornburg,D_cr,MC,D_C_r2,D_C_r2,2016-2017,,-0.488672497014953,-0.582955556731619,,,0.696538546824864,0.41408972286409
Dornburg,D_cr,MC,D_C_r3,D_C_r3,2016-2017,,-0.488672497014953,0.773672684880722,,,2.61786835364052,1.70902710742874
Dornburg,D_cr,MC,D_C_r4,D_C_r4,2016-2017,,-0.488672497014953,-0.582955556731619,,,2.41037586549199,2.1818326962456
Dornburg,D_cr,24m,D_AF_r1_24m,D_AF_r1,2016-2017,,-0.488672497014953,-0.582955556731619,,,0.57499736868079,1.66137836260265
Dornburg,D_cr,24m,D_AF_r2_24m,D_AF_r2,2016-2017,,0.605605815721925,2.09898448508927,,,0.185726647494616,2.016158813444
Dornburg,D_cr,24m,D_AF_r3_24m,D_AF_r3,2016-2017,,-0.488672497014953,2.15410142195995,,,2.07071336144811,1.48303339969317
Dornburg,D_cr,24m,D_AF_r4_24m,D_AF_r4,2016-2017,,-0.488672497014953,3.81136750104871,,,-0.428528113729985,-0.173421455121042
Forst,F_cr,1m,F_AF_r1_1m,F_AF_r1,2016-2017,,-0.488672497014953,-0.582955556731619,0.0250155808720885,-0.604037674243312,,
Forst,F_cr,4m,F_AF_r1_4m,F_AF_r1,2016-2017,,1.5193173293392,-0.582955556731619,0.0229577438851815,-0.844154317827223,,
Forst,F_cr,7m,F_AF_r1_7m,F_AF_r1,2016-2017,,-0.488672497014953,-0.582955556731619,1.26863506662623,-0.334239092620469,,
Forst,F_cr,1m,F_AF_r2_1m,F_AF_r2,2016-2017,,-0.488672497014953,-0.582955556731619,-0.0763328907330821,-0.810378319369128,,
Forst,F_cr,4m,F_AF_r2_4m,F_AF_r2,2016-2017,,1.19081628515775,0.392864757410592,-0.609655643173151,-0.254200211425832,,
Forst,F_cr,7m,F_AF_r2_7m,F_AF_r2,2016-2017,,-0.488672497014953,-0.582955556731619,0.738742042497672,-0.297801954889918,,
Forst,F_cr,1m,F_AF_r3_1m,F_AF_r3,2016-2017,,-0.488672497014953,-0.416352088463437,1.20192685096733,0.0514213988646876,,
Forst,F_cr,4m,F_AF_r3_4m,F_AF_r3,2016-2017,,-0.488672497014953,-0.582955556731619,0.394740292853049,-0.0259563430574936,,
Forst,F_cr,7m,F_AF_r3_7m,F_AF_r3,2016-2017,,4.31048845307958,-0.582955556731619,1.59360182414196,-0.629011442800207,,
Forst,F_cr,1m,F_AF_r4_1m,F_AF_r4,2016-2017,,-0.488672497014953,-0.582955556731619,2.59062384429841,-0.844154317827223,,
Forst,F_cr,4m,F_AF_r4_4m,F_AF_r4,2016-2017,,0.877543766203257,-0.582955556731619,0.859296992647308,-0.808740695201463,,
Forst,F_cr,7m,F_AF_r4_7m,F_AF_r4,2016-2017,,1.78472876900898,-0.492764205488693,0.305224383922594,-0.527478744404964,,
