OBJECTID,ID,signal_ID,personal_ID,Date,year_month,site,plot,day,position,component,management,season,net_flux,gross_emission,gross_uptake,CO2_flux,ST,WFPS,BD,NH4,NO3,mineral_N,MIN_CO2,MBN,MBC,nirK,nirS,nosZI,nosZII
1,0,W_AF_r1_T,W_AF_r1_T,2018-04-07T00:00:00,2018_3,W,W p1,1,a_tree,a_tree_row,W_agro,a_spring,0.0314,0.0773,0.0045,1.266,15.2,74.26,0.95,3.6296,1.4341,5.0637,3.99976303317536,,,417958008.55,152467335.41,64839359.4,136958574.78
2,0,W_AF_r1_1m,W_AF_r1_1m,2018-04-07T00:00:00,2018_3,W,W p2,1,b_1m,b_crop_row,W_agro,a_spring,0.6558,0.9395,0,0.9389,15.2,56.27,1,10.995,26.4152,37.4102,39.8447118969006,,,752112551.13,95818950.34,103025355.34,177791648.91
3,0,W_AF_r1_7m,W_AF_r1_7m,2018-04-07T00:00:00,2018_3,W,W p3,1,c_7m,b_crop_row,W_agro,a_spring,0.2907,0.417,0.0054,1.21,15.2,56.31,0.98,28.5593,30.8315,59.3908,49.083305785124,,,756674907.67,104490266.21,81428305.16,98070181.81
4,0,W_AF_r1_24m,W_AF_r1_24m,2018-04-07T00:00:00,2018_3,W,W p4,1,d_24m,b_crop_row,W_agro,a_spring,0.1862,0.2601,0,1.0558,15.2,51.98,1.01,7.8616,23.7619,31.6235,29.9521689713961,,,973033097.22,163503565.16,124752318.29,135555499.1
5,0,W_AF_r2_T,W_AF_r2_T,2018-04-07T00:00:00,2018_3,W,W p5,1,a_tree,a_tree_row,W_agro,a_spring,-0.0037,0.1031,0.0865,1.606,15.7,64.87,1.05,7.9584,0.2931,8.2515,5.1379202988792,,,1176352903.7,140928707.46,163609298.09,278741362.05
6,0,W_AF_r2_1m,W_AF_r2_1m,2018-04-07T00:00:00,2018_3,W,W p6,1,b_1m,b_crop_row,W_agro,a_spring,0.0936,0.1237,0.0212,1.2213,15.2,53.38,0.96,4.1561,21.507,25.6631,21.0129370343077,,,341808320.36,43975145.67,43535925.53,76482405.94
7,0,W_AF_r2_7m,W_AF_r2_7m,2018-04-07T00:00:00,2018_3,W,W p7,1,c_7m,b_crop_row,W_agro,a_spring,0.3073,0.4745,0,1.1919,15.2,55.14,1.02,5.9309,23.4772,29.4081,24.6732947394916,,,579016690.26,50907125.62,65105658.54,79453439.89
8,0,W_AF_r2_24m,W_AF_r2_24m,2018-04-07T00:00:00,2018_3,W,W p8,1,d_24m,b_crop_row,W_agro,a_spring,0.8352,1.0269,0,1.2835,15.2,49.95,0.99,14.1701,40.6824,54.8525,42.7366575769381,,,439699900.39,47194717.48,61095854.68,89737468.33
9,0,W_AF_r3_T,W_AF_r3_T,2018-04-07T00:00:00,2018_3,W,W p9,1,a_tree,a_tree_row,W_agro,a_spring,0.0018,0.0931,0.0325,1.1104,15.4,57.49,1.1,4.7978,1.4007,6.1985,5.58222262247839,,,1162131179.56,73624694.16,101859395.16,189717115.56
10,0,W_AF_r3_1m,W_AF_r3_1m,2018-04-07T00:00:00,2018_3,W,W p10,1,b_1m,b_crop_row,W_agro,a_spring,0.5847,0.7775,0,1.3356,15.2,55.5,1.11,2.5512,16.9045,19.4557,14.567011081162,,,1289943840.74,90865329.66,116224049.67,221650375.22
