name,resulttype,resultformat,concept,element,element uri,unit_symbol,unit_uri,quantity kind_uri,method,description,primary key
PRID,string,,sosa:FeatureOfInterest,,,,,,,A unique identifier for each soil profile or sample in the dataset.,False
HONU,integer,,ssn:Property,,,,,,,"A variable representing the horizon number within a soil profile, indicating the sequence of soil layers.",False
HBUP,integer,,ssn:Property,,,,,,,"The upper boundary depth of a specific soil horizon, measured in centimeters from the soil surface.",False
HBDE,integer,,ssn:Property,,,,,,,"The lower boundary depth of a specific soil horizon, measured in centimeters from the soil surface.",False
DIAH,string,,ssn:Property,,,,,,,"The diameter of soil aggregates or particles, typically measured in millimeters.",False
DIAP,string,,ssn:Property,,,,,,,"The diameter of soil pores, which may influence water movement and retention in the soil.",False
HODE,string,,ssn:Property,,,,,,,"The organic matter content of the soil, often expressed as a percentage or weight fraction.",False
SCMO,string,,ssn:Property,,,,,,,"Soil moisture content, typically measured as a percentage of the soil's total weight.",False
SCDR,string,,ssn:Property,,,,,,,"Soil drainage class, indicating the natural drainage characteristics of the soil.",False
STTY,string,,ssn:Property,,,,,,,"Soil texture type, which classifies the soil based on the relative proportions of sand, silt, and clay.",False
MINA,string,,ssn:Property,,,,,,,"The mineral content of the soil, potentially expressed as a percentage or weight fraction.",False
SDTO,integer,,sosa:observedProperty,density,http://www.eionet.europa.eu/gemet/concept/11116,g/cm³,http://qudt.org/vocab/unit/GM-PER-CentiM3,http://qudt.org/vocab/quantitykind/MassDensity,,"Soil density, typically measured in grams per cubic centimeter.",False
STPC,integer,,sosa:observedProperty,soil texture,https://data.geoscience.earth/ncl/ISO11074v2025/3.476,,,,,"Soil texture percentage composition, detailing the proportions of various particle sizes.",False
CLPC,integer,,sosa:observedProperty,clay content,https://data.geoscience.earth/ncl/ISO11074v2025/3.74,,,,,"Clay percentage in the soil, indicating the proportion of clay-sized particles.",False
PSCL,string,,sosa:observedProperty,mineral,http://www.eionet.europa.eu/gemet/concept/5277,,,,,The presence or concentration of specific soil minerals or chemical elements.,False
PHAQ,decimal,,sosa:observedProperty,pH,http://opendata.inrae.fr/thesaurusINRAE/c_17430,pH,http://qudt.org/vocab/unit/PH,http://qudt.org/vocab/quantitykind/Acidity,,"Soil pH level, indicating the acidity or alkalinity of the soil.",False
PHKC,decimal,,sosa:observedProperty,pH of 1:5 soil/1M potassium chloride extract - direct (without stirring during measurement),http://anzsoil.org/def/au/scm/4C1,mg/kg,http://qudt.org/vocab/unit/MilliGM-PER-KiloGM,http://qudt.org/vocab/quantitykind/MassRatio,http://anzsoil.org/def/au/scm/4C1,"Potassium concentration in the soil, typically measured in milligrams per kilogram.",False
ELCO,string,,sosa:observedProperty,soil salinity,http://aims.fao.org/aos/agrovoc/c_35317,dS/m,http://qudt.org/vocab/unit/DeciS-PER-M,http://qudt.org/vocab/quantitykind/ElectricConductivity,,"The electrical conductivity of the soil, which may indicate salinity levels.",False
EXCA,decimal,,sosa:observedProperty,ion exchange,http://www.eionet.europa.eu/gemet/concept/4485,cmol/kg,http://qudt.org/vocab/unit/CentiMOL-PER-KiloGM,http://qudt.org/vocab/quantitykind/MolalityOfSolute,,"Exchangeable cations in the soil, which are positively charged ions available for plant uptake.",False
EXMG,decimal,,sosa:observedProperty,magnesium,http://aims.fao.org/aos/agrovoc/c_4517,cmol/kg,http://qudt.org/vocab/unit/CentiMOL-PER-KiloGM,http://qudt.org/vocab/quantitykind/AmountOfSubstancePerMass,,"Magnesium concentration in the soil, typically measured in milligrams per kilogram.",False
EXNA,decimal,,sosa:observedProperty,sodium,http://opendata.inrae.fr/thesaurusINRAE/c_15787,mg/kg,http://qudt.org/vocab/unit/MilliGM-PER-KiloGM,http://qudt.org/vocab/quantitykind/MassRatio,,"Sodium concentration in the soil, typically measured in milligrams per kilogram.",False
EXCK,decimal,,sosa:observedProperty,calcium content,http://www.eionet.europa.eu/gemet/concept/1112,mg/kg,http://qudt.org/vocab/unit/MilliGM-PER-KiloGM,http://qudt.org/vocab/quantitykind/MassRatio,,"Calcium concentration in the soil, typically measured in milligrams per kilogram.",False
EXAL,string,,sosa:observedProperty,aluminium content,http://www.eionet.europa.eu/gemet/concept/355,mmol,http://qudt.org/vocab/unit/MilliMOL,http://qudt.org/vocab/quantitykind/AmountOfSubstance,,"Aluminum concentration in the soil, typically measured in milligrams per kilogram.",False
EXAC,string,,sosa:observedProperty,soil acidity,http://opendata.inrae.fr/thesaurusINRAE/c_ee37c05c,pH,http://qudt.org/vocab/unit/PH,http://qudt.org/vocab/quantitykind/Acidity,,"Acidity levels in the soil, often expressed in terms of pH or as a concentration of hydrogen ions.",False
CECS,decimal,,sosa:observedProperty,cation exchange capacityc soil,http://w3id.org/glosis/model/layerhorizon/cationExchangeCapacitycSoilProperty,cmol/kg,http://qudt.org/vocab/unit/CentiMOL-PER-KiloGM,http://qudt.org/vocab/quantitykind/AmountOfSubstancePerMass,,"Cation exchange capacity of the soil, indicating the soil's ability to hold and exchange cations.",False
TOTC,integer,,sosa:observedProperty,soil organic carbon,http://aims.fao.org/aos/agrovoc/c_389fe908,g/g,http://qudt.org/vocab/unit/GM-PER-GM,http://qudt.org/vocab/quantitykind/MassRatio,,"Total organic carbon content in the soil, typically expressed as a percentage or weight fraction.",False
