name,resulttype,resultformat,concept,element,element_uri,unit_symbol,unit_uri,quantity_kind_uri,method,description,primary_key
Bodenlaborwerte_ID,integer,,sosa:FeatureOfInterest,,,,,,,A unique identifier for soil laboratory values recorded in the dataset.,False
Probenahme_Boden_ID,integer,,,,,,,,,A unique identifier for soil sampling events linked to specific soil observations.,False
Ph_Wert,decimal,,sosa:observedProperty,pH-value,http://www.eionet.europa.eu/gemet/concept/14636,,,,,"The pH value of the soil, indicating its acidity or alkalinity, measured in a laboratory setting.",False
Ct,integer,,sosa:observedProperty,soil carbon density,http://w3id.org/glosis/model/siteplot/soilCarbonDensityProperty,,,,,"The total carbon content in the soil, typically expressed as a percentage of the soil mass.",False
C_hwl,decimal,,sosa:observedProperty,,,,,,,The carbon content in the soil measured using the hot water leaching method.,False
Nt,decimal,,sosa:observedProperty,total nitrogen,http://aims.fao.org/aos/agrovoc/c_bdc779f4,,,,,"The total nitrogen content in the soil, usually expressed as a percentage of the soil mass.",False
NO3_N,decimal,,sosa:observedProperty,nitrate,http://www.eionet.europa.eu/gemet/concept/5593,,,,,"The concentration of nitrate nitrogen in the soil, typically measured in milligrams per kilogram.",False
NH4_N,decimal,,sosa:observedProperty,ammonium,http://www.eionet.europa.eu/gemet/concept/379,,,,,"The concentration of ammonium nitrogen in the soil, usually expressed in milligrams per kilogram.",False
CaCO3_C,decimal,,sosa:observedProperty,carbonates content,http://w3id.org/glosis/model/layerhorizon/carbonatesContentProperty,,,,,"The carbon content derived from calcium carbonate in the soil, expressed as a percentage.",False
P,decimal,,sosa:observedProperty,total phosphorus,http://aims.fao.org/aos/agrovoc/c_ac4b3c22,,,,,"The concentration of phosphorus in the soil, typically measured in milligrams per kilogram.",False
K,string,,sosa:observedProperty,potassium,http://opendata.inrae.fr/thesaurusINRAE/c_15734,,,,,"The concentration of potassium in the soil, usually expressed in milligrams per kilogram.",False
Mg,string,,sosa:observedProperty,magnesium,http://aims.fao.org/aos/agrovoc/c_4517,,,,,"The concentration of magnesium in the soil, typically measured in milligrams per kilogram.",False
Ca,integer,,sosa:observedProperty,calcium content,http://www.eionet.europa.eu/gemet/concept/1112,,,,,"The concentration of calcium in the soil, usually expressed in milligrams per kilogram.",False
B,decimal,,sosa:observedProperty,boron,http://www.eionet.europa.eu/gemet/concept/965,,,,,"The concentration of boron in the soil, typically measured in milligrams per kilogram.",False
Cu,decimal,,sosa:observedProperty,copper,http://www.eionet.europa.eu/gemet/concept/1792,,,,,"The concentration of copper in the soil, usually expressed in milligrams per kilogram.",False
Mn,integer,,sosa:observedProperty,manganese,http://w3id.org/glosis/model/layerhorizon/manganeseProperty,,,,,"The concentration of manganese in the soil, typically measured in milligrams per kilogram.",False
