Bodenlaborwerte_ID,Probenahme_Boden_ID,Ph_Wert,Ct,C_hwl,Nt,NO3_N,NH4_N,CaCO3_C,P,K,Mg,Ca,B,Cu,Mn,Mo,Zn,F,Grobsand,Mittelsand,Feinsand,Grobschluff,Mittelschluff,Feinschluff,Ton,P_Koenigswasser,Mg_Koenigswasser,Ca_Koenigswasser,B_Koenigswasser,Cu_Koenigswasser,Mn_Koenigswasser,Mo_Koenigswasser,Zn_Koenigswasser,Al_Koenigswasser,Fe_Koenigswasser,S_Koenigswasser,Sr_Koenigswasser,Ti_Koenigswasser,Cd_Koenigswasser,Ni_Koenigswasser,Pb_Koenigswasser,Bemerkungen_ID
5450,5450,6.1,278,,25.1,,,,5.17,15.64,5.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5451,5451,6,505,,40.5,,,,8.3,10,7.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5452,5452,5.8,297,,27.6,,,,3.64,10.32,5.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5453,5453,5.8,406,,38.4,,,,7.23,6.74,6.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5454,5454,5.9,266,,18.5,,,,3.51,8.24,5.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5455,5455,6,460,,40.9,,,,8.21,13.12,6.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5456,5456,5.8,207,,20.6,,,,4.28,10.78,4.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5457,5457,5.5,437,,41.8,,,,7.01,10.04,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5458,5458,5.7,166,,16.8,,,,3.68,9.66,4.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5459,5459,5.8,388,,33.8,,,,4.49,8.08,6.08,,,,,,,,,,,,,,,387,829,986,3.89,7.1,373,0.18,24.15,4649,5889,67.59,18.67,241,0.1,3.7,13.9,
5460,5460,5.9,181,,18.8,,,,2.05,4.58,5.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
