Probenahme_Boden_ID,Versuchsjahr,Termin,Parzelle_ID,Tiefe_Oben,Tiefe_Unten,Bemerkungen_ID
1,1963,,12001,0,20,
2,1963,,12002,0,20,
3,1963,,12003,0,20,
4,1963,,12004,0,20,
5,1963,,12005,0,20,
6,1963,,12006,0,20,
7,1963,,12007,0,20,
8,1963,,12008,0,20,
9,1963,,12009,0,20,
10,1963,,12011,0,20,
11,1963,,12012,0,20,
12,1963,,12013,0,20,
13,1963,,12014,0,20,
14,1963,,12022,0,20,
15,1963,,12023,0,20,
16,1963,,12024,0,20,
17,1963,,12025,0,20,
18,1963,,12026,0,20,
19,1963,,12027,0,20,
20,1963,,12028,0,20,
21,1963,,12029,0,20,
22,1963,,12030,0,20,
23,1963,,12031,0,20,
24,1963,,12032,0,20,
25,1963,,12033,0,20,
26,1963,,12034,0,20,
27,1963,,12035,0,20,
28,1963,,12036,0,20,
29,1963,,12037,0,20,
30,1963,,12038,0,20,
31,1963,,12039,0,20,
32,1963,,12040,0,20,
33,1963,,12041,0,20,
34,1963,,12042,0,20,
35,1963,,12050,0,20,
36,1963,,12051,0,20,
37,1963,,12052,0,20,
38,1963,,12053,0,20,
39,1963,,12054,0,20,
40,1963,,12055,0,20,
41,1963,,12056,0,20,
42,1963,,12064,0,20,
43,1963,,12065,0,20,
44,1963,,12066,0,20,
45,1963,,12067,0,20,
46,1963,,12068,0,20,
47,1963,,12069,0,20,
48,1963,,12070,0,20,
49,1963,,12071,0,20,
50,1963,,12072,0,20,
51,1963,,12073,0,20,
52,1963,,12074,0,20,
53,1963,,12075,0,20,
54,1963,,12076,0,20,
55,1963,,12077,0,20,
56,1963,,12078,0,20,
57,1963,,12079,0,20,
58,1963,,12080,0,20,
59,1963,,12082,0,20,
60,1963,,12083,0,20,
61,1963,,12084,0,20,
62,1963,,12092,0,20,
63,1963,,12093,0,20,
64,1963,,12096,0,20,
65,1963,,12106,0,20,
66,1963,,12107,0,20,
67,1963,,12108,0,20,
68,1963,,12109,0,20,
69,1963,,12110,0,20,
70,1963,,12111,0,20,
71,1963,,12112,0,20,
72,1963,,12113,0,20,
73,1963,,12114,0,20,
74,1963,,12115,0,20,
75,1963,,12116,0,20,
76,1963,,12117,0,20,
77,1963,,12118,0,20,
78,1963,,12119,0,20,
79,1963,,12120,0,20,
80,1963,,12121,0,20,
81,1963,,12122,0,20,
82,1963,,12123,0,20,
83,1963,,12124,0,20,
84,1963,,12125,0,20,
85,1963,,12126,0,20,
86,1963,,12134,0,20,
87,1963,,12136,0,20,
88,1963,,12137,0,20,
89,1963,,12138,0,20,
90,1963,,12139,0,20,
91,1963,,12140,0,20,
92,1963,,12142,0,20,
93,1966,,12001,0,25,
94,1966,,12002,0,25,
95,1966,,12003,0,25,
96,1966,,12004,0,25,
97,1966,,12005,0,25,
98,1966,,12006,0,25,
99,1966,,12007,0,25,
100,1966,,12008,0,25,
101,1966,,12009,0,25,
102,1966,,12010,0,25,
103,1966,,12011,0,25,
104,1966,,12012,0,25,
105,1966,,12013,0,25,
106,1966,,12014,0,25,
107,1966,,12015,0,25,
108,1966,,12016,0,25,
109,1966,,12017,0,25,
110,1966,,12018,0,25,
111,1966,,12019,0,25,
112,1966,,12020,0,25,
113,1966,,12021,0,25,
114,1966,,12022,0,25,
115,1966,,12023,0,25,
116,1966,,12024,0,25,
