Probenahme_Boden_ID,Versuchsjahr,Termin,Parzelle_ID,Tiefe_Oben,Tiefe_Unten,Bemerkungen_ID
5450,2004,2004-09-23T00:00:00,12129,25,50,
5451,2004,2004-09-23T00:00:00,12130,0,25,
5452,2004,2004-09-23T00:00:00,12130,25,50,
5453,2004,2004-09-23T00:00:00,12131,0,25,
5454,2004,2004-09-23T00:00:00,12131,25,50,
5455,2004,2004-09-23T00:00:00,12132,0,25,
5456,2004,2004-09-23T00:00:00,12132,25,50,
5457,2004,2004-09-23T00:00:00,12133,0,25,
5458,2004,2004-09-23T00:00:00,12133,25,50,
5459,2004,2004-09-23T00:00:00,12134,0,25,
5460,2004,2004-09-23T00:00:00,12134,25,50,
