name,resulttype,resultformat,concept,element,element_uri,unit_symbol,unit_uri,quantity_kind_uri,method,description,primary_key
sample_ID,string,,sosa:FeatureOfInterest,,,,,,,"A unique identifier assigned to each soil sample, constructed to ensure traceability.",True
sample_name,string,,sosa:FeatureOfInterest,,,,,,,"A unique identifier for each soil sample, combining field number, replicate number, depth interval, and location.",False
ID_field,string,,ssn:Property,,,,,,,Identifier representing the specific field from which the soil sample was collected.,False
ID_profile,string,,ssn:Property,,,,,,,Identifier indicating the within-field replicate number for the soil sample.,False
ID_depth,string,,ssn:Property,,,,,,,"Identifier denoting the depth interval from which the soil sample was taken, with A for 0–5 cm and B for 15–20 cm.",False
ID_location,string,,ssn:Property,,,,,,,"Identifier representing the administrative location where the soil sample was collected, with ATP for Attapeu and KHA for Khammouane.",False
depth,string,,ssn:Property,soil depth,http://w3id.org/glosis/model/common/soilDepthProperty,,,,,"The soil depth interval from the surface over which the soil sample was collected, measured in centimeters.",False
landuse,string,,ssn:Property,agricultural land,http://www.eionet.europa.eu/gemet/concept/202,,,,,"The category of land use under which the soil sample was collected, such as rice, cassava, gardens, or non-cultivated.",False
volum_cylinder_cm3,integer,,sosa:observedProperty,sample volume,https://data.geoscience.earth/ncl/ISO11074v2025/3.409,cm³,http://qudt.org/vocab/unit/CentiM3,http://qudt.org/vocab/quantitykind/Volume,ENVO – soil sampling device (ENVO:00002792),"The volume of the soil sampling cylinder used to collect an undisturbed soil sample, measured in cubic centimeters.",False
wet_mass_soil_g,decimal,,sosa:observedProperty,soil water content,http://aims.fao.org/aos/agrovoc/c_7208,g,http://qudt.org/vocab/unit/GM,http://qudt.org/vocab/quantitykind/Mass,,"The mass of the soil sample immediately after collection, including water content, measured in grams.",False
dry_mass_soil_g,decimal,,sosa:observedProperty,soil sample,http://opendata.inrae.fr/thesaurusINRAE/c_17874,g,http://qudt.org/vocab/unit/GM,http://qudt.org/vocab/quantitykind/Mass,,"The mass of the soil sample after oven-drying at 105 °C until constant weight, representing the dry mass of soil, measured in grams.",False
bulk_density,decimal,,sosa:observedProperty,bulk density,https://data.geoscience.earth/ncl/ISO11074v2025/3.62,g/cm³,http://qudt.org/vocab/unit/GM-PER-CentiM3,http://qudt.org/vocab/quantitykind/MassDensity,ENVO – soil bulk density (ENVO:09200004),"The dry mass of soil per unit volume, including pore space, measured using a soil sampling cylinder and expressed in grams per cubic centimeter.",False
water_content,integer,,sosa:observedProperty,soil water content,http://aims.fao.org/aos/agrovoc/c_7208,g/g,http://qudt.org/vocab/unit/GM-PER-GM,http://qudt.org/vocab/quantitykind/MassRatio,ENVO – soil gravimetric water content,"The mass of water in the soil per unit dry mass of soil, expressed as a percentage by weight.",False
collection_date,date,%Y-%m,sosa:phenomenonTime,,,,,,,"The date on which the soil sampling occurred, formatted as YYYY-MM.",False
latitude,decimal,,geo:Feature,,,,,,,"The latitude of the geographic location where the soil sample was collected, expressed in decimal degrees (WGS84).",False
longitude,decimal,,geo:Feature,,,,,,,"The longitude of the geographic location where the soil sample was collected, expressed in decimal degrees (WGS84).",False
elevation,integer,,geo:Feature,,,,,,,"The elevation of the location where the soil sample was collected, measured relative to sea level in meters.",False
location,string,,ssn:Property,location,schema:location,,,,,The administrative province where the soil sample was collected.,False
country,string,,ssn:Property,Country,schema:Country,,,,,"The country in which the soil sample was collected, represented by the ISO country code LA for Laos.",False
