name,column_type,column_format,concept,element,element_uri,unit_symbol,unit_uri,quantity_kind_uri,method,description,primary_key
ID,string,,sosa:FeatureOfInterest,,,,,,,A unique identifier for each soil or cacao leaf sample.,True
Lon,decimal,,geo:Feature,,,,,,,The geographic longitude coordinate of the sample location.,False
Lat,decimal,,geo:Feature,,,,,,,The geographic latitude coordinate of the sample location.,False
region,string,,schema:Property,,,,,,,The specific geographical region in Côte d'Ivoire where the sample was collected.,False
Produc,decimal,,sosa:Property,Theobroma cacao,http://aims.fao.org/aos/agrovoc/c_7713,kg/ha,http://qudt.org/vocab/unit/KiloGM-PER-HA,http://qudt.org/vocab/quantitykind/MassPerArea,null,The yield of dry cacao beans measured in kilograms per hectare.,False
N,decimal,,sosa:Property,total nitrogen,http://aims.fao.org/aos/agrovoc/c_bdc779f4,g/g,http://qudt.org/vocab/unit/GM-PER-GM,http://qudt.org/vocab/quantitykind/MassRatio,null,"The total nitrogen content in the sample, expressed as a percentage.",False
P,decimal,,sosa:Property,total phosphorus,http://aims.fao.org/aos/agrovoc/c_ac4b3c22,g/g,http://qudt.org/vocab/unit/GM-PER-GM,http://qudt.org/vocab/quantitykind/MassRatio,null,"The total phosphorus content in the sample, expressed as a percentage.",False
K,decimal,,sosa:Property,potassium content,http://opendata.inrae.fr/thesaurusINRAE/c_17871,g/g,http://qudt.org/vocab/unit/GM-PER-GM,http://qudt.org/vocab/quantitykind/MassRatio,null,"The total potassium content in the sample, expressed as a percentage.",False
Ca,decimal,,sosa:Property,calcium content,http://www.eionet.europa.eu/gemet/concept/1112,g/g,http://qudt.org/vocab/unit/GM-PER-GM,http://qudt.org/vocab/quantitykind/MassRatio,null,"The total calcium content in the sample, expressed as a percentage.",False
Mg,decimal,,sosa:Property,magnesium,http://aims.fao.org/aos/agrovoc/c_4517,g/g,http://qudt.org/vocab/unit/GM-PER-GM,http://qudt.org/vocab/quantitykind/MassRatio,null,"The total magnesium content in the sample, expressed as a percentage.",False
Fe,string,,sosa:Property,iron,http://www.eionet.europa.eu/gemet/concept/4498,PPM,http://qudt.org/vocab/unit/PPM,http://qudt.org/vocab/quantitykind/AmountOfSubstanceFraction,null,"The iron concentration in the sample, measured in parts per million (ppm).",False
Mn,decimal,,sosa:Property,manganese,http://w3id.org/glosis/model/layerhorizon/manganeseProperty,PPM,http://qudt.org/vocab/unit/PPM,http://qudt.org/vocab/quantitykind/AmountOfSubstanceFraction,null,"The manganese concentration in the sample, measured in parts per million (ppm).",False
B,decimal,,sosa:Property,boron,http://www.eionet.europa.eu/gemet/concept/965,PPM,http://qudt.org/vocab/unit/PPM,http://qudt.org/vocab/quantitykind/AmountOfSubstanceFraction,null,"The boron concentration in the sample, measured in parts per million (ppm).",False
Cu,decimal,,sosa:Property,copper,http://www.eionet.europa.eu/gemet/concept/1792,PPM,http://qudt.org/vocab/unit/PPM,http://qudt.org/vocab/quantitykind/AmountOfSubstanceFraction,null,"The copper concentration in the sample, measured in parts per million (ppm).",False
Mo,decimal,,sosa:Property,molybdenum,http://w3id.org/glosis/model/layerhorizon/molybdenumProperty,PPM,http://qudt.org/vocab/unit/PPM,http://qudt.org/vocab/quantitykind/AmountOfSubstanceFraction,null,"The molybdenum concentration in the sample, measured in parts per million (ppm).",False
Zn,decimal,,sosa:Property,zinc content,http://opendata.inrae.fr/thesaurusINRAE/c_16440,PPM,http://qudt.org/vocab/unit/PPM,http://qudt.org/vocab/quantitykind/AmountOfSubstanceFraction,null,"The zinc concentration in the sample, measured in parts per million (ppm).",False
