name,column_type,column_format,concept,element,element_uri,unit_symbol,unit_uri,quantity_kind_uri,method,description,primary_key
ID,string,,sosa:FeatureOfInterest,,,,,,,A unique identifier for each soil or cacao leaf sample.,True
Lon,decimal,,geo:Feature,,,,,,,"The geographic longitude of the sample location, measured in degrees.",False
Lat,decimal,,geo:Feature,,,,,,,"The geographic latitude of the sample location, measured in degrees.",False
region,string,,schema:Property,,,,,,,The specific region in Côte d'Ivoire where the sample was collected.,False
Clay,integer,,sosa:Property,clay content,https://data.geoscience.earth/ncl/ISO11074v2025/3.74,g/g,http://qudt.org/vocab/unit/GM-PER-GM,http://qudt.org/vocab/quantitykind/MassRatio,,"The percentage of clay content in the soil, indicating the proportion of soil particles with a diameter less than 0.002 mm.",False
C_org,decimal,,sosa:Property,soil organic carbon,http://aims.fao.org/aos/agrovoc/c_389fe908,g/g,http://qudt.org/vocab/unit/GM-PER-GM,http://qudt.org/vocab/quantitykind/MassRatio,Walkley-Black,"The percentage of organic carbon in the soil, measured using the Walkley-Black method.",False
N_tot,decimal,,sosa:Property,total nitrogen,http://aims.fao.org/aos/agrovoc/c_bdc779f4,g/g,http://qudt.org/vocab/unit/GM-PER-GM,http://qudt.org/vocab/quantitykind/MassRatio,Kjeldahl method,"The total nitrogen content in the soil, expressed as a percentage and determined by the Kjeldahl method.",False
P_avail,decimal,,sosa:Property,available phosphorus content,http://opendata.inrae.fr/thesaurusINRAE/c_19075,PPM,http://qudt.org/vocab/unit/PPM,http://qudt.org/vocab/quantitykind/AmountOfSubstanceFraction,"Olsen, modified Dabin method","The available phosphorus content in the soil, measured in parts per million (ppm) using the Olsen, modified Dabin method.",False
K,decimal,,sosa:Property,potassium content,http://opendata.inrae.fr/thesaurusINRAE/c_17871,cmol/kg,http://qudt.org/vocab/unit/CentiMOL-PER-KiloGM,http://qudt.org/vocab/quantitykind/AmountOfSubstancePerMass,Metson (pH=7),"The potassium content in the soil, measured in centimoles of charge per kilogram (cmol·kg-1) using the Metson method at pH 7.",False
Ca,decimal,,sosa:Property,calcium content,http://www.eionet.europa.eu/gemet/concept/1112,cmol/kg,http://qudt.org/vocab/unit/CentiMOL-PER-KiloGM,http://qudt.org/vocab/quantitykind/AmountOfSubstancePerMass,Metson (pH=7),"The calcium content in the soil, measured in centimoles of charge per kilogram (cmol·kg-1) using the Metson method at pH 7.",False
Mg,decimal,,sosa:Property,magnesium,http://aims.fao.org/aos/agrovoc/c_4517,cmol/kg,http://qudt.org/vocab/unit/CentiMOL-PER-KiloGM,http://qudt.org/vocab/quantitykind/AmountOfSubstancePerMass,Metson (pH=7),"The magnesium content in the soil, measured in centimoles of charge per kilogram (cmol·kg-1) using the Metson method at pH 7.",False
CEC,decimal,,sosa:Property,cation exchange capacity,http://w3id.org/glosis/model/layerhorizon/cationExchangeCapacityProperty,cmol/kg,http://qudt.org/vocab/unit/CentiMOL-PER-KiloGM,http://qudt.org/vocab/quantitykind/AmountOfSubstancePerMass,Metson (pH=7),"The cation exchange capacity of the soil, measured in centimoles of charge per kilogram (cmol·kg-1) using the Metson method at pH 7.",False
pH_water,decimal,,sosa:Property,pH of a 1:2.5 soil/water suspension,http://anzsoil.org/def/au/scm/4A3,pH,http://qudt.org/vocab/unit/PH,http://qudt.org/vocab/quantitykind/Acidity,http://anzsoil.org/def/au/scm/4A3,The soil pH measured in a 1:2.5 soil-to-water ratio.,False
Satur,decimal,,sosa:Property,water saturation,http://aims.fao.org/aos/agrovoc/c_8311,cm³/cm³,http://qudt.org/vocab/unit/CentiM3-PER-CentiM3,http://qudt.org/vocab/quantitykind/VolumeFraction,,"The percentage of soil saturation, indicating the proportion of soil pores filled with water.",False
C_N,decimal,,sosa:Property,carbon-to-nitrogen ratio,http://opendata.inrae.fr/thesaurusINRAE/c_4221,mol/mol,http://qudt.org/vocab/unit/MOL-PER-MOL,http://qudt.org/vocab/quantitykind/Unknown,,"The carbon-to-nitrogen (C:N) ratio in the soil, indicating the relative amounts of carbon and nitrogen present.",False
Fe,string,,sosa:Property,iron content,http://opendata.inrae.fr/thesaurusINRAE/c_16692,PPM,http://qudt.org/vocab/unit/PPM,http://qudt.org/vocab/quantitykind/AmountOfSubstanceFraction,EDTA method ,"The iron content in the soil, measured in parts per million (ppm) using the EDTA method.",False
Mn,string,,sosa:Property,manganese,http://w3id.org/glosis/model/layerhorizon/manganeseProperty,PPM,http://qudt.org/vocab/unit/PPM,http://qudt.org/vocab/quantitykind/AmountOfSubstanceFraction,EDTA method ,"The manganese content in the soil, measured in parts per million (ppm) using the EDTA method.",False
Cu,decimal,,sosa:Property,copper,http://www.eionet.europa.eu/gemet/concept/1792,PPM,http://qudt.org/vocab/unit/PPM,http://qudt.org/vocab/quantitykind/AmountOfSubstanceFraction,EDTA method ,"The copper content in the soil, measured in parts per million (ppm) using the EDTA method.",False
Zn,decimal,,sosa:Property,zinc content,http://opendata.inrae.fr/thesaurusINRAE/c_16440,PPM,http://qudt.org/vocab/unit/PPM,http://qudt.org/vocab/quantitykind/AmountOfSubstanceFraction,EDTA method ,"The zinc content in the soil, measured in parts per million (ppm) using the EDTA method.",False
B,decimal,,sosa:Property,boron,http://www.eionet.europa.eu/gemet/concept/965,PPM,http://qudt.org/vocab/unit/PPM,http://qudt.org/vocab/quantitykind/AmountOfSubstanceFraction,hot water dilution method,"The boron content in the soil, measured in parts per million (ppm) using the hot water dilution method.",False
