Sample_ID;Upper_Depth_cm;Lower_Depth_cm;Reference;Plot;pH_H2O;pH_KCl;Electrical_Conductivity_mS_cm;Organic_Carbon_pct;Organic_Matter_pct;Bulk_Density_g_cm3;CN_Ratio;Kjeldahl_Nitrogen_mg_kg;Nitrate_Nitrogen_mg_kg;Ammonium_Nitrogen_mg_kg;Nitrogen_pct;Total_Nitrogen_mg_kg;Phosphorus_mg_kg;Potassium_meq_100g;Calcium_meq_100g;Magnesium_meq_100g;Sodium_meq_100g;Boron_mg_kg;Iron_mg_kg;Copper_mg_kg;Zinc_mg_kg;Manganese_mg_kg;Carbonates_pct;CEC_meq_100g;Active_Lime_pct;Clay_pct;Silt_pct;Sand_pct;Gravel_pct;USDA_Classification;CaMg_Ratio;KMg_Ratio;CaK_Ratio;Longitude_EPSG4326;Latitude_EPSG4326
BADOLATOSA_BARRAGANA_ALTA;0;15;BADOLATOSA;BARRAGANA ALTA;9.41;;0.16;1.972;3.4;;6.6;2978;;;;;2.6;0.33;37.6;1.15;0.58;0.8;30.3;9.5;1.5;29.4;21.7;14.8;3.2;28.5;57;14.5;;Silty clay loam;32.69565217;0.286956522;113.9393939;-4.636731;37.342208
BADOLATOSA_ARQUILLO;0;15;BADOLATOSA;ARQUILLO;9.23;;0.15;1.9894;3.43;;6.7;2961.5;;;;;2.9;0.42;41.3;2.19;0.5;0.2;21.5;7.2;1.5;21.1;20.1;18.1;3.6;36.6;36.6;26.7;;Clay loam;18.85844749;0.191780822;98.33333333;-4.62744;37.303145
BADOLATOSA_VINCULO;0;15;BADOLATOSA;VINCULO;9.03;;0.16;1.9198;3.31;;7.1;2702.1;;;;;18;0.7;49.2;2.14;0.96;1.7;26.4;14.4;1.5;100.6;18.3;11.2;2.1;19.8;66.1;14;;Silt loam;22.99065421;0.327102804;70.28571429;-4.715351;37.295461
BADOLATOSA_RETAMALES;0;15;BADOLATOSA;RETAMALES;8.99;;0.22;1.131;1.95;;12;945.3;;;;;29.1;0.94;36.7;2.08;0.99;2;19.2;8.1;3.5;39.3;11.9;12.9;1.5;27.4;68.5;4.1;;Silty clay loam;17.64423077;0.451923077;39.04255319;-4.860322;37.39722
BADOLATOSA_BORREGA;0;15;BADOLATOSA;BORREGA;8.98;;0.22;0.7308;1.26;;7.1;1027.9;;;;;4.9;0.6;39.2;1.84;0.84;1;22.8;4.3;2.4;17.6;17.8;13.7;2.4;31.2;62.3;6.5;;Silty clay loam;21.30434783;0.326086957;65.33333333;-4.693266;37.31488
FUENSANTA_DE_CORCOYA_LOS_VILLARES;0;15;FUENSANTA DE CORCOYA;LOS VILLARES;8.61;;0.67;0.986;1.7;;6.6;1487.7;;;;;32.2;1.49;40.6;1.51;0.78;1.4;21.8;15.5;4.5;44.9;9.7;7.8;0.8;15.2;40.6;44.2;;Loam;26.88741722;0.986754967;27.24832215;-4.696593;37.230893
FUENSANTA_DE_CORCOYA_ARROYUELOS;0;15;FUENSANTA DE CORCOYA;ARROYUELOS;9.27;;0.15;1.0092;1.74;;7;1431.9;;;;;11.4;0.59;32.5;1.75;0.66;1.9;42.5;16.4;1.5;108.9;13.6;13.5;1.8;29.4;29.4;41.2;;Clay loam;18.57142857;0.337142857;55.08474576;-4.700219;37.27407
FUENSANTA_DE_CORCOYA_DEHESILLA;0;15;FUENSANTA DE CORCOYA;DEHESILLA;9.15;;0.14;0.9976;1.72;;7;1423.5;;;;;10.1;0.55;34;0.9;0.56;2;27.2;12.4;1.8;54.6;19.4;14.9;2.9;33.1;6.6;60.3;;Sandy clay loam;37.77777778;0.611111111;61.81818182;-4.710423;37.278377
FUENSANTA_DE_CORCOYA_CABRERA;0;15;FUENSANTA DE CORCOYA;CABRERA;9.11;;0.16;0.9918;1.71;;3.4;2950.4;;;;;25.1;0.76;35.5;1.55;0.31;2;33.7;21.4;1.7;103.5;19;13.8;2.6;30.2;30.2;39.7;;Clay loam;22.90322581;0.490322581;46.71052632;-4.684354;37.276772
FUENSANTA_DE_CORCOYA_VILINDRINAS;0;15;FUENSANTA DE CORCOYA;VILINDRINAS;8.89;;0.21;1.9778;3.41;;13.3;1491.7;;;;;281.4;2.2;48;5.61;0.91;4.3;58.7;23.5;7.7;130.4;17;15.8;2.7;31.1;31.1;37.9;;Clay loam;8.556149733;0.392156863;21.81818182;-4.673513;37.264115
FUENSANTA_DE_CORCOYA_HUECO;0;15;FUENSANTA DE CORCOYA;HUECO;8.56;;0.75;1.0092;1.74;;6.7;1498.1;;;;;27.4;1.09;37.7;2.91;0.96;1.6;36.6;17.4;1.4;110.4;9.4;13.2;1.2;28.7;34.4;37;;Clay loam;12.95532646;0.374570447;34.58715596;-4.69176;37.268079
AGROJARA_ROSAS/NAVACERRADA;0;15;AGROJARA;ROSAS/NAVACERRADA;8.4;;0.09;0.2204;0.38;;7.36;;;;0.03;;2.9;0.6;33.1;2.4;0.1;;;;;;2.15;;—;52;24;24;;Clay;13.79166667;0.25;55.16666667;-4.845901;37.394273
HERRERA_MARINALEDA_CIPRES_NORTE;0;15;HERRERA MARINALEDA;CIPRES NORTE;7.9;;423;2.784;4.8;;5.1;;;;;5463;149;2.55;69.6;2.44;0;0.44;25.1;73.6;5.34;83.8;25.1;35.1;11.7;35;28;37;;Clay loam;28.5;1.05;27.29411765;-4.818369;37.346417
HERRERA_MARINALEDA_ARROYO_BLANCO;0;15;HERRERA MARINALEDA;ARROYO BLANCO;8.1;;191;0.8352;1.44;;5.28;;;;;1587;15.6;0.89;95.2;1.78;0.02;0.29;20.3;17.4;1.47;41.9;38.7;31.5;13.3;40;35;25;;Clay loam;53.5;0.5;106.9662921;-4.841007;37.403768
HERRERA_MARINALEDA_LLANO;0;15;HERRERA MARINALEDA;LLANO;8.3;;367;1.2238;2.11;;4.38;;;;;2795;139;2.5;59;2.75;0;0.37;37.4;16;4.95;111;8;36.2;3.29;45;34;21;;Clay;21.4;0.91;23.6;-4.971442;37.36977
HERRERA_MARINALEDA_CIPRES_SUR;0;15;HERRERA MARINALEDA;CIPRES SUR;8.2;;319;0.8874;1.53;;5.14;;;;;1730;46.6;1.44;74.9;1.45;0;0.22;19.1;19.6;1.88;75.8;19.2;31.7;10.2;40;36;24;;Clay loam;51.5;0.99;52.01388889;-4.819624;37.334151
HERRERA_MARINALEDA_CNO_SENDA;0;15;HERRERA MARINALEDA;CNO SENDA;7.7;;689;0.9512;1.64;;5.1;;;;;1868;55.5;1.27;135;2.11;0.27;0.25;13.5;31;2.23;24.5;58.2;35.2;14.5;45;34;21;;Clay;64.2;0.6;106.2992126;-4.84151;37.347196
HERRERA_MARINALEDA_PENHAUELA;0;15;HERRERA MARINALEDA;PENHAUELA;8.7;;289;0.928;1.6;;5.71;;;;;1628;25.2;1.05;81.5;5.1;0.81;0.19;23.3;20.5;1.33;42.6;54.1;35.1;13.2;45;34;21;;Clay;16;0.21;77.61904762;-4.935697;37.398324
HERRERA_MARINALEDA_MOSTAZARES;0;15;HERRERA MARINALEDA;MOSTAZARES;8.6;;153;0.6322;1.09;;6.06;;;;;1043;18.6;0.65;59.6;0.86;0;0.15;20.5;4.41;1.32;244;24.6;14.2;8.14;15;21;64;;Sandy loam;69.3;0.76;91.69230769;-4.914006;37.391044
HERRERA_MARINALEDA_PALOMINAS;0;15;HERRERA MARINALEDA;PALOMINAS;8.1;;209;1.1426;1.97;;6.57;;;;;1740;22.9;1.53;65.4;2.32;0;0.23;26.4;17.7;2.48;79.1;26;32.6;11.2;40;36;24;;Clay loam;28.2;0.66;42.74509804;-4.88445;37.363998
HERRERA_MARINALEDA_RASUELAS;0;15;HERRERA MARINALEDA;RASUELAS;8.3;;159;0.7192;1.24;;5.71;;;;;1264;11.2;0.86;71.3;1.72;0;0.14;26.4;10;0.54;35.5;43.6;37.7;13.7;50;31;19;;Clay;41.4;0.5;82.90697674;-4.825343;37.356432
LA_RIBERA_OJAN;0;15;LA RIBERA;OJAN;8.82;;222;1.16;2;;8;;;;;1445;24.1;1.03;58.93;2.28;1.72;1.99;19.28;5.65;1.6;12.55;9.6;15;5.3;29.9;24.9;45.1;;Sandy clay loam;25.8;0.45;57.21359223;-5.221621;37.328625
LA_RIBERA_TINOCO;0;15;LA RIBERA;TINOCO;8.68;;176;1.276;2.2;;8.7;;;;;1443;30.1;2.34;61.63;2.68;0.81;1.47;23.83;6.42;3.03;28.67;11.9;17.4;8.3;34.9;34.9;30.2;;Clay loam;23;0.87;26.33760684;-5.02888;37.237881
LA_RIBERA_EL_FRANCES;0;15;LA RIBERA;EL FRANCES;8.98;;139;0.754;1.3;;9;;;;;849;27;0.8;53.2;1.36;0.77;2;9.5;6.1;1.54;14.23;10.3;16.7;6.6;34.9;29.9;35.2;;Clay loam;39.1;0.59;66.5;-5.033647;37.220161
LA_RIBERA_LAS_AGUILILLAS;0;15;LA RIBERA;LAS AGUILILLAS;8.86;;130;1.1078;1.91;;9.5;;;;;1165.82;28.86;1.14;53.7;1.42;0.52;3.08;15.04;5.71;1.52;25.28;9.3;17.24;6.5;35;35;30;;Clay loam;37.8;0.8;47.10526316;-5.024474;37.252998
LA_RIBERA_EL_INGLES;0;15;LA RIBERA;EL INGLES;8.84;;116;1.0208;1.76;;9.1;;;;;1124.02;18.81;0.77;54.87;1.46;0.7;2.39;12.12;3.54;1.46;9.36;9.3;14.84;5.5;29.91;29.91;40.17;;Clay loam;37.6;0.53;71.25974026;-5.00279;37.298825
LA_RIBERA_EL_TESORO;0;15;LA RIBERA;EL TESORO;8.81;;125;1.537;2.65;;11;;;;;1399.49;7.88;0.59;57.9;1.62;0.55;2.21;12.82;1.9;1.17;12.54;11.3;17.81;7.3;34.9;29.92;35.18;;Clay loam;35.7;0.36;98.13559322;-5.015888;37.309437
LA_RIBERA_CORITO;0;15;LA RIBERA;CORITO;8.79;;130;0.928;1.6;;8.8;;;;;1075.16;19.21;1.61;58.8;3.68;0.59;2.89;12.78;2.74;1.92;10.19;9.6;19.2;7.2;40;35;25;;Clay;15.98;0.44;36.52173913;-4.998409;37.274211
LA_RIBERA_EL_ROSAL;0;15;LA RIBERA;EL ROSAL;8.79;;120;1.334;2.3;;10.5;;;;;1264.91;10.46;1.77;70.6;2.66;0.55;3.09;13.07;4.41;1.47;17.27;12.9;17.5;9;35;35;30.1;;Clay loam;26.5;0.66;39.88700565;-5.057374;37.269959
LA_RIBERA_EL_CERRO_DE_LAS_PALMAS;0;15;LA RIBERA;EL CERRO DE LAS PALMAS;8.93;;134;1.044;1.8;;9.6;;;;;1067.05;41.2;0.77;51.6;2.15;0.62;2.65;11.85;2.26;1.89;16.23;10.3;17.1;7.2;34.9;34.9;30.2;;Clay loam;24;0.36;67.01298701;-4.984396;37.278413
LA_RIBERA_LASARTE;0;15;LA RIBERA;LASARTE;8.99;;124;1.16;2;;9.9;;;;;1181.09;22.86;0.86;52.65;2.5;0.62;1.77;7.93;8.37;1.44;9.61;11.1;15;7.2;29.9;34.8;35.3;;Clay loam;21.1;0.34;61.22093023;-4.980802;37.25941
LA_RIBERA_ROMPESQUINA;0;15;LA RIBERA;ROMPESQUINA;8.89;;204;1.276;2.2;;9.1;;;;;1417;19.23;1.96;51.11;3.76;1.17;2.5;8.57;3.09;4.04;19.52;12;15.2;6.6;29.9;24.9;45.1;;Sandy clay loam;13.6;0.52;26.07653061;-4.983938;37.225755
LA_RIBERA_EL_CARMEN;0;15;LA RIBERA;EL CARMEN;9.03;;128;0.754;1.3;;8.4;;;;;892.54;74.17;1.23;41.7;2.12;0.57;1.18;16.51;7.02;5.79;14.62;9.4;14.5;4.2;30;15;55;;Sandy clay loam;19.7;0.58;33.90243902;-4.991985;37.215898
LA_RIBERA_LAS_DEHESAS;0;15;LA RIBERA;LAS DEHESAS;8.89;;128;1.276;2.2;;9.2;;;;;1417.88;22.38;1.95;54.17;1.78;0.54;2.61;8.05;8.03;2.38;12.62;11.3;15.3;7.3;30;35;35;;Clay loam;30.4;1.1;27.77948718;-4.976215;37.246207
LA_RIBERA_LA_VEGA_DE_SAN_JUAN;0;15;LA RIBERA;LA VEGA DE SAN JUAN;8.84;;141;1.044;1.8;;9.7;;;;;1093.7;10.4;1.08;50.54;2.36;0.51;1.43;14.82;3.83;6.71;19.45;10.5;21.6;6.8;45;20;35;;Clay;21.4;0.46;46.7962963;-4.995868;37.232575
LA_RIBERA_LAS_VERGARAS;0;15;LA RIBERA;LAS VERGARAS;8.79;;123;0.928;1.6;;9.5;;;;;994.5;18.97;1.93;50.8;3.23;0.52;1.4;13.87;3.85;1.49;13.5;12.7;14.7;8.3;29.9;34.9;35.3;;Clay loam;15.7;0.6;26.32124352;-4.980485;37.224924
