name,resulttype,resultformat,concept,element,element uri,unit_symbol,unit_uri,quantity kind_uri,method,description,primary key
Sample_ID,string,,sosa:FeatureOfInterest,,,,,,,A unique identifier assigned to each soil sample.,False
Upper_Depth_cm,integer,,sosa:observedProperty,soil depth sampled,http://w3id.org/glosis/model/common/soilDepthSampledProperty,cm,http://qudt.org/vocab/unit/CentiM,http://qudt.org/vocab/quantitykind/Length,,"The upper boundary of the sampled soil layer, measured in centimeters.",False
Lower_Depth_cm,integer,,sosa:observedProperty,soil depth sampled,http://w3id.org/glosis/model/common/soilDepthSampledProperty,cm,http://qudt.org/vocab/unit/CentiM,http://qudt.org/vocab/quantitykind/Length,,"The lower boundary of the sampled soil layer, measured in centimeters.",False
Reference,string,,ssn:Property,,,,,,,"A citation or source reference related to the soil data, not explicitly defined in the context.",False
Plot,string,,ssn:Property,,,,,,,"A designation for the specific area from which the soil sample is collected, not explicitly defined in the context.",False
pH_H2O,decimal,,sosa:observedProperty,pH,http://opendata.inrae.fr/thesaurusINRAE/c_17430,pH,http://qudt.org/vocab/unit/PH,http://qudt.org/vocab/quantitykind/Acidity,ISO 10390,"The pH of the soil measured in a water suspension, indicating soil acidity or alkalinity.",False
pH_KCl,decimal,,sosa:observedProperty,pH of 1:5 soil/1M potassium chloride extract - direct (with stirring during measurement),http://anzsoil.org/def/au/scm/4C3,pH,http://qudt.org/vocab/unit/PH,http://qudt.org/vocab/quantitykind/Acidity,http://anzsoil.org/def/au/scm/4C3,"The pH of the soil measured in a potassium chloride solution, providing an alternative measure of soil acidity.",False
Electrical_Conductivity_mS_cm,decimal,,sosa:observedProperty,electrical conductivity,http://w3id.org/glosis/model/layerhorizon/electricalConductivityProperty,mS/cm,http://qudt.org/vocab/unit/MilliS-PER-CentiM,http://qudt.org/vocab/quantitykind/ElectricConductivity,,"The electrical conductivity of the soil, measured in milliSiemens per centimeter, indicating the soil's ability to conduct electricity.",False
Organic_Carbon_pct,decimal,,sosa:observedProperty,soil organic carbon,http://aims.fao.org/aos/agrovoc/c_389fe908,g/hg,http://qudt.org/vocab/unit/GM-PER-HectoGM,http://qudt.org/vocab/quantitykind/MassRatio,,"The percentage of organic carbon content in the soil, measured as grams of carbon per 100 grams of soil.",False
Organic_Matter_pct,decimal,,sosa:observedProperty,soil organic matter,http://opendata.inrae.fr/thesaurusINRAE/c_336,g/hg,http://qudt.org/vocab/unit/GM-PER-HectoGM,http://qudt.org/vocab/quantitykind/MassRatio,,"The percentage of organic matter in the soil, measured as grams of organic matter per 100 grams of soil.",False
