pid,cc,lon,lat,year
AO_1445_P100_56,AO,16.269295,-12.580465,1956
AO_1445_P101_56,AO,16.295847,-12.568941,1956
AO_1445_P104_56,AO,16.239548,-12.544614,1956
AO_1445_P105_56,AO,16.273443,-12.503834,1956
AO_1445_P107_56,AO,NA,NA,1956
AO_1445_P111_56,AO,16.236534,-12.379929,1956
AO_1445_P112_56,AO,15.574244,-12.886142,1946
AO_1445_P115_56,AO,16.442312,-12.683521,1956
AO_1445_P119_46,AO,15.836408,-12.729724,1946
AO_1445_P120_46,AO,15.85705,-12.725569,1946
AO_1445_P120_56,AO,16.45159,-12.911955,1956
AO_1445_P123_56,AO,16.394024,-13.056227,1956
AO_1445_P124_56,AO,16.461008,-13.100033,1956
AO_1445_P132_56,AO,16.281191,-12.263359,1956
AO_1445_P136_56,AO,16.346224,-12.135234,1956
AO_1445_P139_56,AO,15.565445,-12.863178,1946
AO_1445_P14_56,AO,15.470672,-13.128586,1956
AO_1445_P140_56,AO,16.152916,-12.178665,1956
AO_1445_P145_56,AO,16.097429,-12.132853,1956
AO_1445_P149_56,AO,16.121639,-11.938654,1956
AO_1445_P150_56,AO,16.130703,-11.881011,1956
AO_1445_P151_56,AO,16.089626,-12.180574,1956
AO_1445_P154_56,AO,15.932881,-12.150552,1956
AO_1445_P156_56,AO,16.102316,-12.291545,1956
AO_1445_P158_56,AO,15.521056,-12.841156,1946
AO_1445_P160_56,AO,15.940305,-12.097983,1956
AO_1445_P163_56,AO,15.950018,-11.934605,1956
AO_1445_P164_56,AO,15.892568,-11.92153,1956
AO_1445_P168_56,AO,16.452589,-11.970158,1956
AO_1445_P179_56,AO,16.012629,-11.672236,1956
AO_1445_P180_56,AO,16.009478,-11.64334,1956
AO_1445_P181_56,AO,15.951798,-11.615274,1956
AO_1445_P184_56,AO,15.977616,-11.985922,1956
AO_1445_P196_56,AO,15.923409,-11.784469,1956
AO_1445_P197_56,AO,15.914272,-11.769133,1956
AO_1445_P198_56,AO,15.898415,-11.750725,1956
AO_1445_P20_56,AO,16.012693,-12.675923,1956
AO_1445_P200_56,AO,15.896286,-11.715374,1956
AO_1445_P202_56,AO,15.962639,-11.526945,1956
AO_1445_P206_56,AO,15.822084,-11.685262,1956
AO_1445_P210_56,AO,15.735297,-11.783134,1956
AO_1445_P211_56,AO,15.430611,-11.816059,1956
AO_1445_P215_56,AO,15.412149,-11.819065,1956
AO_1445_P216_56,AO,15.818264,-12.150696,1956
AO_1445_P221_56,AO,15.667326,-12.004235,1956
AO_1445_P225_56,AO,15.620859,-12.332209,1956
AO_1445_P227_56,AO,15.759274,-12.163198,1956
AO_1445_P236_56,AO,15.361905,-12.181753,1956
AO_1445_P238_56,AO,15.395013,-12.136468,1956
AO_1445_P240_56,AO,15.436331,-12.379585,1956
AO_1445_P246_56,AO,15.479441,-12.484921,1956
AO_1445_P251_56,AO,15.305277,-12.440454,1956
AO_1445_P255_56,AO,15.226048,-12.935827,1956
AO_1445_P257_56,AO,NA,NA,1956
AO_1445_P258_56,AO,15.359807,-13.190826,1956
AO_1445_P259_56,AO,15.402303,-12.846792,1956
AO_1445_P26_56,AO,15.486283,-12.658131,1956
AO_1445_P260_56,AO,15.408316,-12.836023,1956
AO_1445_P261_56,AO,15.427425,-12.825882,1956
AO_1445_P266_56,AO,15.833983,-13.138351,1956
AO_1445_P267_56,AO,15.890957,-12.816456,1956
AO_1445_P273_56,AO,NA,NA,1956
AO_1445_P276_56,AO,15.645833,-13.542624,1956
AO_1445_P28_56,AO,15.477972,-12.618554,1956
AO_1445_P29_56,AO,15.469584,-12.584286,1956
AO_1445_P32_56,AO,15.133748,-12.734926,1956
AO_1445_P33_56,AO,15.147598,-12.717349,1956
AO_1445_P40_56,AO,15.379327,-13.064607,1956
AO_1445_P47_56,AO,15.868637,-13.297361,1956
AO_1445_P50_56,AO,15.682431,-13.287273,1956
AO_1445_P59_56,AO,16.154673,-13.224063,1956
AO_1445_P63_56,AO,16.112125,-13.439604,1956
AO_1445_P7_56,AO,15.72312,-13.005454,1956
AO_1445_P71_56,AO,16.320494,-13.013269,1956
AO_1445_P72_56,AO,16.149408,-13.156582,1956
AO_1445_P74_56,AO,16.0539,-13.277492,1956
AO_1445_P75_56,AO,16.007799,-13.306776,1956
AO_1445_P82_56,AO,16.05776,-12.536785,1956
AO_1445_P86_56,AO,16.150311,-12.301493,1956
AO_1445_P87_56,AO,16.132753,-12.265295,1956
AO_1445_P93_56,AO,16.280224,-12.585651,1956
AO_1445_P95_56,AO,16.301075,-12.664601,1956
AO_1445_P99_56,AO,16.246311,-12.566388,1956
AO_1446_P26_57,AO,12.446643,-16.831198,1957
AO_1446_P287_56,AO,13.396522,-14.656841,1956
AO_1446_P3_59BACFM,AO,NA,NA,1959
AO_1446_P30_57,AO,12.413398,-16.889546,1957
AO_1446_P302_56,AO,13.558659,-14.320887,1956
AO_1446_P304_56,AO,13.625233,-14.295368,1956
AO_1446_P305_56,AO,13.377762,-14.734499,1956
AO_1446_P312_56,AO,13.193049,-14.258302,1956
AO_1446_P322_56,AO,13.004964,-14.211269,1956
AO_1446_P329_56,AO,13.468234,-14.138981,1956
AO_1446_P335_56,AO,13.372854,-13.971251,1956
AO_1446_P336_56,AO,13.440178,-13.95937,1956
AO_1446_P349_56,AO,13.289636,-13.856998,1956
AO_1446_P5_59BACFM,AO,NA,NA,1959
AO_1446_P50_57,AO,12.325051,-15.887895,1957
AO_1446_P53_57,AO,12.109259,-15.678677,1957
AO_1446_P61_57,AO,12.769929,-14.713273,1957
AO_1446_P65_57,AO,12.8246,-14.355814,1957
AO_1446_P81_57,AO,12.383264,-14.778052,1957
AO_1446_P84_57,AO,12.35676,-14.47001,1957
AO_1446_P96_57,AO,12.404718,-14.220589,1957
AO_1448_P1_59,AO,12.575774,-4.866986,1959
AO_1448_P100_59,AO,12.733427,-4.62742,1959
AO_1448_P115_59,AO,12.348583,-5.0651,1959
AO_1448_P116_59,AO,12.393414,-4.991431,1959
AO_1448_P119_59,AO,12.306618,-5.094668,1959
AO_1448_P120_59,AO,12.103731,-4.953561,1959
AO_1448_P125_59,AO,12.376521,-4.895265,1959
AO_1448_P131_59,AO,12.348266,-5.170293,1959
AO_1448_P134_59,AO,12.351064,-5.171952,1959
AO_1448_P16_59,AO,12.609922,-4.982684,1959
AO_1448_P161_59,AO,12.266906,-5.183781,1959
AO_1448_P163_59,AO,12.280329,-5.207664,1959
AO_1448_P171_59,AO,12.235444,-5.179511,1959
AO_1448_P172_59,AO,12.215699,-5.192792,1959
AO_1448_P182_59,AO,12.119715,-5.086739,1959
AO_1448_P188_59,AO,12.260925,-5.694658,1959
AO_1448_P220_59,AO,12.508367,-5.421395,1959
AO_1448_P227_59,AO,12.179984,-5.280829,1959
AO_1448_P232_59,AO,12.271756,-5.592213,1959
AO_1448_P233_59,AO,12.298851,-5.6234,1959
AO_1448_P235_59,AO,12.363643,-5.646623,1959
AO_1448_P254_59,AO,12.233968,-5.550701,1959
AO_1448_P27_59,AO,12.512737,-5.018611,1959
AO_1448_P42_59,AO,12.529499,-4.69413,1959
AO_1448_P47_59,AO,12.483497,-4.798658,1959
AO_1448_P7_59,AO,12.574562,-4.855259,1959
AO_1448_P70_59,AO,12.66829,-4.729691,1959
AO_1448_P81_59,AO,12.721819,-4.716563,1959
AO_1448_P93_59,AO,12.648459,-4.572003,1959
AO_1448_P94_59,AO,12.824121,-4.517488,1959
AO_1448_P98_59,AO,12.84102,-4.446332,1959
AO_1454_P104c_60,AO,14.767887,-6.301882,1960
AO_1454_P111c_60,AO,14.61324,-6.104879,1960
AO_1454_P118_60,AO,15.248752,-7.710916,1960
AO_1454_P120c_60,AO,14.86106,-5.960615,1960
AO_1454_P121c_60,AO,14.585913,-6.138673,1960
AO_1454_P123c_60,AO,NA,NA,1960
AO_1454_P124c_60,AO,14.350315,-6.189796,1960
AO_1454_P127c_60,AO,14.697466,-5.973874,1960
AO_1454_P135_60,AO,15.192068,-7.825025,1960
AO_1454_P135c_60,AO,13.842361,-6.05763,1960
AO_1454_P138c_60,AO,13.621934,-6.276763,1960
AO_1454_P13c_60,AO,15.273279,-6.879451,1960
AO_1454_P140c_60,AO,NA,NA,1960
AO_1454_P150_60,AO,16.594982,-6.205783,1960
AO_1454_P153_60,AO,15.653535,-7.889537,1960
AO_1454_P156c_60,AO,13.535608,-6.485216,1960
AO_1454_P159c_60,AO,13.205946,-6.926747,1960
AO_1454_P160c_60,AO,13.188877,-6.937323,1960
AO_1454_P163c_60,AO,13.135368,-6.966962,1960
AO_1454_P164c_60,AO,13.069582,-7.01548,1960
AO_1454_P166c_60,AO,13.589669,-6.735593,1960
AO_1454_P172c_60,AO,12.458029,-6.152811,1960
AO_1454_P175c_60,AO,12.632238,-6.163846,1960
AO_1454_P179_60,AO,14.997308,-7.358463,1960
AO_1454_P182_60,AO,14.951858,-7.190139,1960
AO_1454_P182c_60,AO,13.545183,-6.769478,1960
AO_1454_P184_60,AO,15.029499,-7.213641,1960
AO_1454_P184c_60,AO,13.760722,-6.6949,1960
AO_1454_P188_60,AO,14.895867,-7.137005,1960
AO_1454_P189c_60,AO,12.410724,-6.333181,1960
AO_1454_P19_60,AO,15.878064,-6.725544,1960
AO_1454_P192c_60,AO,12.503289,-6.48723,1960
AO_1454_P195_60,AO,14.391334,-6.976591,1960
AO_1454_P195c_60,AO,12.964484,-6.225884,1960
AO_1454_P198_60,AO,14.760519,-7.712425,1960
AO_1454_P20_60,AO,16.048471,-7.239028,1960
AO_1454_P200_60,AO,14.477549,-7.209824,1960
AO_1454_P202c_60,AO,12.979643,-5.920888,1960
AO_1454_P203c_60,AO,12.990664,-5.925516,1960
AO_1454_P206c_60,AO,13.000282,-6.053126,1960
AO_1454_P207_60,AO,14.649901,-6.896268,1960
AO_1454_P211_60,AO,14.93442,-7.564121,1960
AO_1454_P213c_60,AO,12.374611,-6.145671,1960
AO_1454_P215c_60,AO,12.5451,-6.456413,1960
