pid,top,bot,sand,bd,pH,soc
AO_1445_P100_56,0,7,83.2,NA,5.9,12.9
AO_1445_P100_56,7,20,83.3,NA,5.5,8.8
AO_1445_P100_56,20,55,69.5,NA,5.4,4.2
AO_1445_P100_56,55,70,NA,NA,NA,NA
AO_1445_P100_56,70,105,66.3,NA,5.7,1.6
AO_1445_P100_56,105,145,NA,NA,NA,NA
AO_1445_P100_56,145,180,65.8,NA,5.8,1
AO_1445_P101_56,0,12,87.9,NA,5.7,13.7
AO_1445_P101_56,12,25,95.9,NA,5.9,5.6
AO_1445_P101_56,25,38,93,NA,5.9,3.9
AO_1445_P101_56,38,70,92.9,NA,5.8,3.3
AO_1445_P101_56,70,100,88.9,NA,5.7,2.3
AO_1445_P104_56,0,8,64.3,NA,6.3,27.7
AO_1445_P104_56,8,19,66.7,NA,5.8,14.4
AO_1445_P104_56,19,55,64.9,NA,5.7,5.7
AO_1445_P104_56,55,90,55.6,NA,6,3.3
AO_1445_P105_56,0,7,69.7,NA,5.2,11.1
AO_1445_P105_56,7,23,59.5,NA,5.3,7.2
AO_1445_P105_56,23,50,50.4,NA,5.6,3.8
AO_1445_P105_56,50,80,49,NA,5.4,1.9
AO_1445_P105_56,80,115,50.8,NA,5.8,1.8
AO_1445_P105_56,115,150,49.7,NA,6,1.7
AO_1445_P105_56,150,185,45.5,NA,NA,NA
AO_1445_P107_56,0,10,82.4,NA,5.6,43.7
AO_1445_P107_56,10,30,90.9,NA,5.9,15.5
AO_1445_P111_56,0,10,67.8,NA,6.1,13.5
AO_1445_P111_56,10,25,65.1,NA,5.9,8.1
AO_1445_P111_56,25,45,61,NA,6.1,4.8
AO_1445_P111_56,45,65,59.6,NA,6,3
AO_1445_P111_56,65,95,60,NA,6,2.8
AO_1445_P111_56,95,130,56.8,NA,6.3,2.5
AO_1445_P111_56,130,160,51.8,NA,6,2.2
AO_1445_P111_56,160,195,50,NA,6.1,1.3
AO_1445_P112_56,0,5,61.7,NA,6.5,19.3
AO_1445_P112_56,5,35,53.4,NA,5.6,7.5
AO_1445_P112_56,35,80,59.4,NA,5.3,2.5
AO_1445_P115_56,0,10,82.3,NA,5.8,6.2
AO_1445_P115_56,10,26,84.5,NA,5.6,3.8
AO_1445_P115_56,26,43,81.9,NA,5.6,2.2
AO_1445_P115_56,43,84,53.7,NA,5.6,1.9
